title,description,class
Canadian JTF-2 special ops force gets American citation (Canadian Press),"Canadian Press - OTTAWA (CP) - Canada's special operations military unit, Joint Task Force 2, has been awarded the U.S. Presidential Unit Citation for heroism in battle.",World
U.S. Doping Watchdog to Question BALCO's Conte - IAAF," HELSINKI (Reuters) - U.S. anti-doping officials plan to  question Victor Conte after the BALCO head claimed he saw  sprinter Marion Jones taking banned drugs, world athletics body  the IAAF said Saturday.",Sports
US jobless claims fall again,"Initial claims for state unemployment benefits fell unexpectedly to 323,000 last week, down 12,000 from a week earlier, the US Labour Department said today.",Business
Bomb Alert Prompts Greek Plane to Land in London,"A bomb alert prompted a Greek Olympic passenger airliner to make an emergency landing at London #39;s Stansted Airport on Sunday, an airport spokesman said.",World
10 die in attack on US convoy,"A car carrying explosives ripped into a US convoy yesterday in northern Iraq, killing at least 10 people, and US troops fought persistent pockets ",World
"Adobe, Yahoo to Integrate Products (Reuters)","Reuters - Adobe Systems Inc.  and\Yahoo Inc.  on Monday said they have signed a deal to\combine Adobe services, like its widely used document-sharing\program, with Yahoo's Web search functions.",Sci/Tech
NBA Brings Its Game to Beijing (AP),"AP - The NBA has come to booming, basketball-crazy China  #151; but it doesn't expect to make any money soon. The league flew more than 100 people halfway around the world for its first games in China, featuring the Houston Rockets  #151; with Chinese-born star Yao Ming  #151; and the Sacramento Kings.",Sports
Sharon opposes peace talks with Syria for now,"Israeli Prime Minister Ariel Sharon said Thursday that he wouldn #39;t recommend to open negotiations with Syria when terror groups are operating there, Jerusalem Post reported.",World
Mittal: British Billionaire Creates World #39;s Largest Steel Company,"Billionaires forge a deal: Lakshmi Mittal, one of the richest men in the UK, will merge his steel assets and buy International Steel Group (nyse: ISG - news - people ), which counts US billionaire Wilbur L. Ross Jr.",Business
(15) Purdue 41 Notre Dame 16,"Kyle Orton ended the 30-year drought by throwing for 385 yards and four touchdowns, leading the 15th-ranked Boilermakers over the Irish 41-to-16.",Sports
BT Retail head quits to join Cap Gemini,"Rumours of a boardroom split at BT Group were given further impetus on Thursday with the announcement that Pierre Danon, the outspoken chief executive of BT Retail, the groups consumer-facing ",Business
Tuskegee-Benedict Football Game Postponed (AP),AP - Tuskegee University officials called off Saturday's football game with Benedict College because of Hurricane Ivan's impact on Alabama.,Sports
John Flaherty is a career .255 hitter with 78 homers and 384 RBIs. &lt;b&gt;...&lt;/b&gt;,"NEW YORK -- The Yankees made their first player signing of the 2004-05 offseason on Friday, inking backup catcher John Flaherty to a one-year contract.",Sports
Notre Dame must make right choice,It seems you are having a problem finding a new coach for the legendary Notre Dame football team. After firing Tyrone Willingham you had your sights set on Utah coach Urban Meyer.,Sports
NASA Studies  #39;Rain Man #39;s #39; Brain,"NASA scientists are studying the man who was the basis for Dustin Hoffman #39;s character in the 1988 film  quot;Rain Man, quot; hoping that technology used to study the effects of space travel on the brain will help explain his mental capabilities.",Sci/Tech
Chinese Satellite Crashes Into House,"BEIJING, China (AP) -- A section of a Chinese scientific satellite that was returning from orbit crashed into an apartment building, wrecking the top floor but causing no injuries, a newspaper said Sunday.    The capsule crashed into the four-story building Friday in Penglai, a village in the southwestern province of Sichuan, the Tianfu Morning News said...",Sci/Tech
Intervoice's Customers Come Calling,Intervoice gives companies a cost-effective way to deal with customer calls.,Business
U.S. Urges Rationing of Flu Shots as Supply Is Slashed,Officials said that most healthy adults should delay or skip flu shots so that people most at risk can get scarce supplies.,Business
Researchers Find New Species of Bird,"MANILA, Philippines - Filipino and British wildlife researchers say they #39;ve stumbled upon what appears to be a new species of flightless bird found only on the tiny forested island of Calayan in the northern ...",Sci/Tech
Science creates 'own mavericks',"Britain's scientific community fuels controversies by shunning colleagues with rebel ideas, research suggests.",Sci/Tech
Microsoft enters Google Territory with MSN Spaces,"In the last couple of months, we have seen Google invading the Microsoft territory with GMail and Google Desktop Search. Now Microsoft is responding.",Sci/Tech
Same old song,"LANDOVER, Md. -- The past took center stage Monday night at Fed-Ex Field, and the feel of history was almost palpable. But when push came to shove, it wasn #39;t really the kind of history that the Washington ",Sports
Britain has prevented Sept 11-style terrorist attack: report (AFP),"AFP - British security services have foiled an Al-Qaeda plot to fly planes into targets in London in a September 11-style attack, Britain's independent ITV News network reported.",World
Labour Day gridiron classic,"HAMILTONIt was as classic as a Labour Day tussle between the Argonauts and the Tiger-Cats could get. With a sellout crowd of 29,170 roaring its approval, the arch-rivals unleashed their dislike for each ",Sports
"UPDATE 3-Morgan Stanley profit falls 34 pct, shares drop","US investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) on Wednesday said quarterly profit dropped 34 percent amid reduced trading revenue, falling well short of Wall Street #39;s already-lowered expectations after a ",Business
Ukraine in election law deadlock,Ukrainian MPs will make a new attempt on Wednesday to agree reforms ahead of the election re-run.,World
Cheetham Leads Dunhill After 3 Rounds,"MALELANE, South Africa - England #39;s Neil Cheetham had the only bogey-free round Saturday, shooting a 3-under-par 69 that gave him a one-stroke lead after three rounds of the Dunhill Championship.",Sports
Annan backs US bidon Sudan resolution,"UNITED NATIONS Annan backs US bid on Sudan resolution Secretary General Kofi Annan yesterday threw his weight behind a US-drafted resolution on Sudan's Darfur region, saying the Security Council should adopt it immediately to stop atrocities.  quot;It is urgent to act now. Civilians are still being attacked and fleeing their villages as we speak, quot; Annan told reporters of the resolution ...",World
Three red cards in Cardiff,"The Ulstermen finished the match with nine men while the Welsh, who fought back from 2-0 down, had 10 on the field. The match exploded after just nine minutes when both teams were reduced to 10 men.",Sports
"Business ; SBC May Cut More Than 10,000 Jobs","Lehman Brothers analyst Blake Bath said in a research note earlier this week that SBC might reduce its workforce by 10,000 to 20,000 to bring its costs in line with those at other dominant local telephone companies, such as Verizon Communications Inc.",Business
Lions sack king Porcher retires,"DETROIT -- Robert Porcher retired Monday, ending a 13-year career with the Detroit Lions, for whom he is the career leader in sacks.",Sports
Peres: Israeli Extremists May Try to Kill Sharon," JERUSALEM (Reuters) - Opposition leader Shimon Peres said  Tuesday he feared Israeli extremists might try to assassinate  Prime Minister Ariel Sharon, the target of growing far-right  fury over a planned withdrawal from Gaza next year.",World
Textile Fragments Provide Details of Ancient Lives,"Charred and brittle bits of fabric are providing new insights into the lives of prehistoric people, thanks to advances in chemical analysis of textiles.",Sci/Tech
IMF Official Urges Nations on Africa (AP),"AP - Developed countries should do more for Africa, including opening their markets to trade, the head of the International Monetary Fund said Tuesday.",World
China Calls Barring of Lawmaker a Mistake (AP),AP - China said on Monday a misunderstanding caused it to bar a top Hong Kong pro-democracy lawmaker from entering the mainland over the weekend.,World
Blake on Target as Americans Bounce Back in World Cup," NEW YORK (Reuters) - Jason Blake scored the winning goal in  the first period as the United States won their first game at  the World Cup of Hockey with a 3-1 victory over Slovakia in St  Paul, Minnesota on Friday.",Sports
"QuickBooks 2005 makes Mac-PC transfer easier, more (MacCentral)","MacCentral - Later this week Intuit Inc. will officially announce QuickBooks: Pro 2005 for Mac, the latest release of its small business accounting software -- although the company has already posted details of the new release to its Web site. Major changes in this new release include integrated iCal support, the ability to back up data files to .Mac, easier file sharing with the Windows version of QuickBooks and the ability to add PDF backgrounds to forms.",Sci/Tech
Morrison exploits holes in Swiss cheese defence,"Ireland #39;s fine start to the World Cup qualification endures. Four points from two matches provide strong foundations, though the performance here might have yielded less.",Sports
"Car Bombs, Attacks Kill 27 in Iraq's Samarra"," SAMARRA, Iraq (Reuters) - Three car bombs exploded in  Samarra and insurgents attacked three police stations in the  Iraqi city Saturday, killing at least 27 people and wounding  57, police and health officials said.",World
Comparisons inevitable in draft-day rematch,"It will be a Saturday afternoon soap opera, with the man the Giants vowed to have and to hold and the one they left at the altar crossing paths on the floor of Giants Stadium.",Sports
NFL FRIDAY: WEEK 9,"For the second week in a row, Pittsburgh tries to knock off an undefeated team. With ex-Eagle Duce Staley, the Steelers should be able to run the ball against a Philadelphia defense that struggles stopping the run.",Sports
Munich expected to make move to Linux official,"Despite concerns about software patents in Europe, Germany #39;s Munich city government make their move to Linux official according to Reuters.",Sci/Tech
Texas Officials Wary of Plan to Hunt by Internet (Reuters),"Reuters - Hunters soon may be able to sit at\their computers and blast away at animals on a Texas ranch via\the Internet, a prospect that has state wildlife officials up\in arms.",Sci/Tech
Invasion of the Data Snatchers,"Think your PC is safe? Think again. A new study indicates your home computer is likely bogged down with spyware, viruses and other scourges wrought by hackers and PC pranksters.",Sci/Tech
US Airways' Woes Reflect Industry Issues,Washington investors have just two more days to exorcise their investment in US Airways before shares of the Arlington airline are exiled to the land of the living dead.,Business
Fannie Mae issues \$9 bn loss warning for 3Q04,"NEW YORK, November 16 (newratings.com) - Fannie Mae (FNM.NYS) has missed the regulatory deadline for filing its 3Q04 results with the SEC, while warning of an estimated net loss of \$9 billion for the quarter.",Business
Vonage talks of 911 advancements,"In Rhode Island, will there be an answer to a major problem for the Internet phone industry?\",Sci/Tech
Hartson double puts Celtic top,"Celtic have moved top of the Scottish Premier League, for 24 hours at least, after John Hartson #39;s double gave them a 2-1 victory over Hibernian.",Sports
Nokia exits ringtones,Nokia has bowed out of the ringtone market following poor sales from its Club Nokia website. Its exit should also smooth relationships with mobile network operators which think that their hardware providers ,Sci/Tech
Leaders Wish Castro Recovery From Fall (AP),"AP - Presidents Luiz Inacio Lula Da Silva of Brazil, Nestor Kirchner of Argentina and Sam Nujoma of Namibia are among the heads of state who have sent get-well wishes to Fidel Castro since he broke his kneecap and arm in a fall, official media reported Saturday.",World
iTunes Music Store Downloads Top 200 Million Songs,"CUPERTINO, Calif., Dec. 16 /PRNewswire-FirstCall/ -- Apple(R) today announced that music fans have purchased and downloaded more than 200 million songs from the iTunes(R) Music Store.",Sci/Tech
Monaco down troubled PSG to go top,PARIS: Monaco moved top of Ligue 1 after a late winner by striker Emmanuel Adebayor on Sunday sealed troubled Paris St Germains second consecutive home defeat.,Sports
Samsung phones to double as wallets,Samsung mobile phones look set to double as m-wallets as the mobile phone manufacturer signs a Near Field Communication chip deal with Philips.,Sci/Tech
"Put Me in, Coach!","Coach joins the S P 500, and others stand to benefit from the leather in the weather.",Business
GM to lay off 950 in New Jersey,"SAN FRANCISCO (CBS.MW) -- General Motors said Tuesday that it will lay off 950 employees at its assembly plant in Linden, NJ, due to waning demand for the Chevy Blazer and GMC Jimmy.",Business
Tuesday #39;s Top 25 Capsules,"BJ Elder scored 27 points, Will Bynum had 19 and Jarrett Jack added 16 for No. 4 Georgia Tech in a 99-68 victory over Michigan on Tuesday night in the ACC-Big Ten Challenge.",Sports
Constellation Bids \$970 Mln for Mondavi,"Wine and beer distributor Constellation Brands Inc. (STZ.N: Quote, Profile, Research) on Tuesday said it launched an unsolicited \$970 million offer for winemaker Robert Mondavi Corp.",Business
Spain #39;s BBVA Acquires Laredo National Bancshares for \$850 Million,Spanish banking giant Banco Bilbao Vizcaya Argentaria (BBVA) said in a filing with securities regulators Tuesday it was acquiring US-based Laredo National Bancshares (LNB) for \$850 million.,Business
3M Profit Misses Wall Street Estimates," CHICAGO (Reuters) - 3M Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMM.N target=/stocks/quickinfo/fullquote""&gt;MMM.N&lt;/A&gt; on Monday reported a 17  percent rise in third-quarter earnings due in part to the weak  dollar, but the diversified manufacturer's results fell short  of Wall Street's estimates for the first time in nearly four  years, sending shares down 5 percent.",Business
Disney #39;s Eisner Sees Iger as Successor,"Walt Disney Co. (DIS.N: Quote, Profile, Research) Chief Executive Michael Eisner said company President Robert Iger is his  quot;preferred choice quot; to succeed him in running the entertainment ",Business
Sudan negotiator denies need for AU peacekeepers in Darfur (AFP),"AFP - The head of Sudan's delegation to African Union-sponsored talks on the conflict in the western province of Darfur said there was no need for the AU to send peacekeeping force to the troubled region, insisting that Khartoum could handle the security situation.",World
What Can Trump Do for You?,Pennies make the difference as the teams sell products on a shopping channel.,Business
Bell Tolls for Bowe,"Former heavyweight champ Riddick Bowe is attempting a comeback, starting over after a troubling eight years away from the ring.",Sports
Kazaa Leverages Skype for Free Net Calls,"Two of the nets most widely used programs, Kazaa - a peer-to-peer (P2P) filesharing application -nd Skype  -2P internet phone application, have teamed up.",Sci/Tech
Musharraf sees 15 options for Kashmir solution,"LONDON, December 08 (Online): President General Pervez Musharraf on Tuesday said that 15 options could be discussed between India-Pakistan to settle the Kashmir dispute, however no solution will be acceptable against the will of the people of the valley.",World
Al-Sadr's Unclear Motives Muddle Efforts (AP),"AP - What's clear about radical Iraqi cleric Muqtada al-Sadr is that he wants power, U.S. officials say. What's less certain is what he wants to do with that power or how far he'll go to get it.",World
N.Korea Criticism Reports Don't Mean Kim Weaker Yet (Reuters),Reuters - Anecdotal evidence of public criticism of,World
Philly Plans to Become One Big Hot Spot,City will build the world's largest mesh Wi-Fi network to spread Internet access.,Sci/Tech
"Freegate is not Trojan horse, says Symantec",Symantec is to stop classifying a software utility that enables Chinese surfers to view blocked websites as a Trojan horse. The reassessment follows stories earlier this week questioning the designation of ,Sci/Tech
The semantics of Israeli occupation,"Every few months, an Israeli official creates a public-relations nightmare for government spokesmen by simply pointing out the obvious.",World
Venture Capitalists Studying Google IPO for Ideas,"While Google Inc. #39;s auction-based initial public offering may not spur a wave of copycats, venture capitalists are sorting through the IPO to see what can be learned for future deals.",Business
Report: Islamist Group Frees 18 Iraqi Soldiers," DUBAI (Reuters) - An Islamist group has released 18 Iraqi  soldiers it had captured and threatened to kill unless an aide  to Shi'ite rebel cleric Moqtada al-Sadr was released, Arabic  television Al Jazeera reported Monday.",World
NFL Wrap: Barber Runs Over Packers as Giants Win, NEW YORK (Reuters) - Tiki Barber rushed for 182 yards and  ran 52 yards for a touchdown as the New York Giants used a  stifling defense to upset the Green Bay Packers 14-7 in Green  Bay on Sunday.,Sports
Oil prices slip back after coming close to \$50 level,"Oil prices surged closer to \$50 a barrel after hitting yet another record high in the US yesterday, as confusion reigned over the fate of Najaf, sparking fresh fears about Iraq #39;s oil supplies.",Business
Report: Unicom to Set Up Internet Cafes (AP),"AP - China's second-largest mobile phone company plans to open 3,000 Internet cafes by the end of the year, exerting stronger state control over a sector once dominated by private enterprise, state-run radio reported Tuesday.",Sci/Tech
Vijay takes win in stride,"NORTON -- Most people will look back on the final round of the 2004 Deutsche Bank Championship and think,  quot;wasnt that poetic quot; -- Vijay Singh overtakes Tiger Woods in the world rankings by beating him head-to-head on the golf course.",Sports
Blockbuster to Stop Charging Late Fees,"Blockbuster Inc., the world #39;s largest video rental chain, said Tuesday that as of Jan. 1, 2005, the company won #39;t charge late fees on any movie or game rental at its more than 4,500 company-operated and franchised stores in the United States.",Business
Microsoft Files More Spam Suits,"New lawsuits include one against a Web hosting company that called itself ""bulletproof.""",Sci/Tech
MGM Agrees to Be Bought for \$12/Share,"Film and television studio Metro-Goldwyn-Mayer Inc. (MGM.N: Quote, Profile, Research) on Monday said it agreed in principle to be acquired by a consortium led by Sony Corp.",Business
Rangers #39; relief pitcher throws chair at Oakland fans,"OAKLAND, Calif. -- Texas reliever Frank Francisco threw a chair at a fan in a lower box to the left of the Rangers #39; bullpen along the right-field line in the ninth inning against the Oakland Athletics on Monday night.",Sports
Stocks #39; second thoughts,"Indexes are up so far this week, but another record oil price could put some of those gains at risk. NEW YORK (CNN/Money) - US stock markets were set for a little slip at Friday #39;s open, but it would take a ",Business
Home Games Scrapped,The Capitals join several teams in announcing the cancellation of the preseason and some regular season games on Tuesday.,Sports
Clinton Hails Kerry in Surgery Comeback (AP),"AP - It was vintage Bill Clinton, a lip-biting, thumb-wagging, center-of-attention performance. Seven weeks after quadruple bypass heart surgery, looking pale and unusually thin, the former president came back to give John Kerry a sendoff for the final week of the campaign  #151; promoting his own presidency as well  #151; and bluntly framed the campaign between Kerry and President Bush.",World
Pakistan Clashes Said to Leave 9 Dead (AP),"AP - Pakistani security forces and militants clashed on Sunday in fighting that killed at least nine people in the mountains near the Afghan border where al-Qaida-linked fighters are believed to be hiding, military officials said.",World
US heavyweights storm supercomputer league,"The US government #39;s latest supercomputer, BlueGene/L, has been officially crowned the most powerful number cruncher on the planet.",Sci/Tech
"Weak US dollar could hurt growth, slow rate increases by central &lt;b&gt;...&lt;/b&gt;","OTTAWA (CP) - Sustained weakness in the US dollar will dampen American demand for Canadian products at the same time the global economy also appears to be slowing, Bank of Canada Governor David Dodge warned Wednesday.",Business
WORK UNTIL YOU #39;RE 70,"EMPLOYEES will have to work longer, save harder or pay higher taxes to plug a 57billion-a-year hole in pension funds. The Pensions Commission, set up by the Government to look into how ",Business
Olympics: US NBA stars pushed to the brink before edging Greece,ATHENS : Allen Iverson scored 17 points despite a fractured right thumb and the reeling United States team was pushed to the brink before beating Greece 77-71 in an Olympic preliminary round basketball game. ,Sports
Valero to buy Kaneb,"Valero LP of San Antonio said Monday it will acquire Kaneb Services and Kaneb Pipe Line Partners of Dallas for \$2.8 billion. The assets of the combined partnership, which will retain the name Valero LP, will ",Business
Moss to Miss Second Straight Game," EDEN PRAIRIE, Minn. (Sports Network) - One day after being  upgraded to doubtful, Minnesota Vikings wide receiver Randy  Moss has been listed as out for Sunday's game against the Green  Bay Packers due to a right hamstring injury.",Sports
Spain Disrupts Terror Plot,Spanish authorities said Tuesday they disrupted a plot by a cell of Islamic radicals to blow up a Madrid court complex that serves as the home for the country #39;s top anti-terrorism investigators and judges.,World
FOOTBALL: DONS PUT BHOYS IN A STEW,ABERDEEN boosted their reputation and brought the championship race alive with a dramatic win at Celtic Park last night. Substitute John Stewart pounced in injury time after poor defending to give Aberdeen ,Sports
Spy Agency Reform Thrown Into Doubt (Reuters),Reuters - An agreement reached on Saturday by\congressional negotiators on post-Sept. 11 intelligence reforms\was thrown into doubt by resistance by some Republicans in the\House of Representatives.,World
Vaughan Eyes Final Finale,Michael Vaughan today dreamed of capping a spectacularly successful summer for England with an appearance in the final of the ICC Champions Trophy.,Sports
Mussina leads playoff rotation,"Mel Stottlemyre revealed some of the Yankees #39; postseason pitching plans on Saturday afternoon, but Kevin Brown #39;s performance and the health of Orlando Hernandez are clouding ",Sports
Saints Acquire Veteran Cornerback McKenzie (Reuters),"Reuters - The New Orleans Saints\Monday acquired cornerback Mike McKenzie and a future\conditional draft choice from Green Bay. In exchange, the\Packers received a second-round pick in 2005 and quarterback\J.T. O'Sullivan.",Sports
Mandelson faces EU job grilling,Peter Mandelson faces a three-hour grilling from MEPs before he is able to take up the job as Europe's trade commissioner.,World
Scientists Hunt for Big Freshwater Fish (AP),"AP - Scientists in 17 countries will scout waterways to locate and study the world's largest freshwater fish species, many of which are declining in numbers, hoping to learn how to better protect them, researchers announced Thursday.",Sci/Tech
Tigers Defeat Indians 3-1 (AP),"AP - Mike Maroth pitched splendidly into the seventh, and Dmitri Young and Brandon Inge homered to give the Detroit Tigers a 3-1 win over the Cleveland Indians on Monday night.",Sports
"Southern Africa countries pledge enhanced trade ties with China, India"," PORT LOUIS, Aug. 17 (Xinhuanet) -- Southern African countries Tuesday pledged better trade and investment relations with China as well as India in the final communique released at the end of their two-day summit. ",World
Rebel Chief: Sudan Hides Gov't Fighters (AP),"AP - Sudanese authorities have moved hundreds of pro-government fighters from the crisis-torn Darfur region to other parts of the country to keep them out of sight of foreign military observers demanding the militia's disarmament, a rebel leader charged Thursday.",World
"SunTrust Banks to restate 1Q, 2Q profit","ATLANTA -- SunTrust Banks Inc. said Monday that it expects to restate earnings higher for the first and second quarters of 2004 due to changes in loan loss allowances, and plans to delay its third-quarter ",Business
Europe to Sue Over Data Greece Gave on Economy,The European Commission said it would sue Greece for submitting incaccurate deficit figures before joining the euro zone in 2001.,Business
BT launches mobile phone service,"BT launches a new mobile phone service, three years after spinning-off its MM02 subsidiary.",Business
New Jersey Supreme Court Cancels Bear Hunt,"TRENTON, NJ -- New Jersey #39;s top court shot down plans Thursday for next week #39;s bear hunt. The Supreme Court says the six-day hunt can #39;t take place because the state lacks a proper management program for the animals.",Sports
"Symbian, security groups warn of Series 60 trojan","A trojan by the name of  quot;Skulls quot; has appeared in the wild for some Series 60 smartphones, and users are warned to be wary as always.",Sci/Tech
It #39;s a winding road to Nextel Cup glory,"HOMESTEAD  So, what exactly do the top five in the Chase for the Nextel Cup have to do to win? NASCAR has done the math and it adds up like this: KURT BUSCH: Leading the Chase, Busch ",Sports
Clippers escape with victory over Bobcats,"Like any team bent on abiding by an unwritten rule of following sports cliches, the Clippers say they, yawn, take their games one at a time.",Sports
ISS shields Microsoft #39;s latest vulnerabilities,Internet Security Systems has announced that it has preemptive protection available for the four high risk vulnerabilities announced by Microsoft on Wednesday.,Sci/Tech
"No. 6 Notre Dame 60, USC 56","With the game on the line, Notre Dame turned to its senior leaders to help the sixth-ranked Fighting Irish avoid an upset by unranked Southern California.",Sports
SBC slashes DSL prices in phone bundle,SBC Communications said it will cut DSL prices to just \$19.95 a month for people who sign up for its full unlimited local and long-distance phone plans. Broadband Blog,Sci/Tech
Hammer Gold Medallist Annus Loses Medal," ATHENS (Reuters) - Olympic men's hammer champion Adrian  Annus has been stripped of his gold medal after failing to take  a drugs test, the International Olympic Committee said Sunday.",Sports
U.S. Knew Last Year of Flu Vaccine Problems,The FDA found serious problems of bacterial contamination 16 months before Britain closed the site.,Business
Firefox gains hints browser wars may heat up,"Washington - The Internet browser wars, dormant for several years, shows signs of heating up again as a result of gains from a new program called Firefox, a research report showed on Monday.",Sci/Tech
Don #39;t touch my internet!,"Cut off their connection to the web and people have moments of  quot;withdrawal and feelings of loss, frustration and disconnectedness quot;, according to a report released this week by Yahoo.",Sci/Tech
"Slow Economy, Oil Prices Send Stocks Down","NEW YORK - Investors extended their blue chip selloff Thursday as oil prices neared their all-time highs, renewing Wall Street's concerns that high energy costs would deflate third-quarter earnings. Only the Nasdaq composite index managed a minimal gain...",World
US long-term mortgage rates increase sharply,"Long-term mortgage rates in the United States increased sharply this week, mortgage wholesaler Freddie Mac reported Thursday in its weekly nationwide survey.",Business
Google laces Gmail with POP3 support,"Google Inc. will roll out POP3 (Post Office Protocol) support gradually over the coming weeks to Gmail users, who will be able to use the feature to download e-mail messages from Gmail servers to e-mail applications on devices such as PCs and wireless devices.",Sci/Tech
Nikkei Falls to 6-Week Low (Reuters),"Reuters - Tokyo's Nikkei average fell 0.4 percent\to a six-week closing low on Tuesday, marking an eight-day\losing streak, after oil prices topped  #36;50 a barrel, fanning\concern over the business outlook for Japanese companies.",Business
Hockey East schedule,"Games 7 p.m. unless noted OCTOBER 15 -- Merrimack at Providence; Denver at BC; Niagara at Maine; UNH at Michigan, 8; UMass at Nye Frontier Classic vs. Minnesota, 9",Sports
EU prepares green light for Turkey #39;s entry,"BRUSSELS: The EU sought Wednesday to keep pressure on Turkey over its bid to start talks on joining the bloc, as last-minute haggling seemed set to go down to the wire at a summit poised to give a green light to Ankara.",World
South Korea and Japan urge Pyongyang to resume nuclear talks,Leaders of Japan and South Korea have jointly urged North Korea to return to talks aimed at ending its nuclear weapons program. They agreed that imposing economic sanctions now on Pyongyang would thwart such efforts.,World
Eriksson Gives Johnson Hope of England Call,Sven-Goran Eriksson tonight gave Crystal Palace striker Andrew Johnson hope of a future England call-up despite having just missed out on the squad for next weeks friendly in Spain.,Sports
Suicide Bombings on Two Israeli Buses Kill 15," BEERSHEBA, Israel (Reuters) - Palestinian suicide bombers  killed at least 15 people in simultaneous attacks on two  Israeli buses on Tuesday, breaking a long lull in such violence  and potentially disrupting an Israeli plan to pull out of Gaza.",World
The world in your palm,New CDMA-GSM phones are hitting the market. Are they a niche device for business travelers or a bombshell set to rattle the wireless industry?,Sci/Tech
Cassini Spacecraft Flies By Saturn Moon,"Oct. 26, 2004 - The US-European spacecraft Cassini-Huygens on Tuesday made a historic flyby of Titan, Saturn #39;s largest moon, passing so low as to almost touch the fringes of its atmosphere.",Sci/Tech
Search heads toward enterprise desktops,"Desktop search has its sights set on corporate PCs, leaving enterprise IT wary of potential security issues associated with the highly anticipated tools.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/solaris;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;12204780;10550054;n?http://ad.doubleclick.net/clk;12165994;10522295;g?http://www.sun.com/solaris10""&gt;Solaris 10(TM) OS: Position your business ten moves ahead.&lt;/a&gt;&lt;br/&gt;Solaris 10 OS has arrived and provides even more\reasons for the world's most demanding businesses\to operate on this, the leading UNIX platform.\Like the fact you can run Linux and Solaris applications\side-by-side and run the same OS on SPARC(R),\AMD Opteron(TM), and Intel processor-based systems.\Discover more reasons and how Solaris 10 OS can move\your business ahead today.&lt;/p&gt;",Sci/Tech
Upscale Hotel Planned in Prince William County,Developers announced plans Thursday for a large hotel and conference center to be built on an environmentally sensitive bluff overlooking the Potomac.,Business
VW and union resume wage talks,Senior negotiators from Volkswagen and its main union have met to seek a deal on cost cutting that could head off the first full-blown strike at the carmaker #39;s western German factories.,Business
Humming sex toy shuts airport,SYDNEY: A sex toy vibrating in a rubbish bin has sparked a security scare and shut a regional Australian airport for almost an hour.,World
Computer Maker in an Alien World,A company that makes odd-looking computers for gamers wants to expand its market. But Alienware execs wonder how many customers will appreciate the glowing alien eyes and other flourishes that have become its signature. By Michelle Delio.,Sci/Tech
Prospective WBIX buyer pulls out ,"Accused embezzler Bradford C. Bleidt checked himself into the psychiatric unit at Massachusetts General Hospital this week, said investigators involved in the case, and they expect him to come forward in the next several days to face the civil charges against him.",Business
Youzhny wins St Petersburg title,Mikhail Youzhny won the second title of his career with a straightforward victory over Karol Beck in the final of the St Petersburg Open on Sunday.,Sports
"PLM vendors eye SMBs with alliances, tools",A growing interest in product life-cycle management capabilities by small and midsize manufacturing companies is fueling vendor attempts to make PLM technologies easier to deploy and use.,Sci/Tech
Sony in Talks to Sell Products at Wal-Mart,TOKYO - The electronics and entertainment giant Sony Corp. is talking with Wal-Mart Stores Inc. and Costco Wholesale Corp. in an effort to boost sales by shipping to US discount chains with which it previously did little business.,Sci/Tech
Rentokil May Say Profit Declined 8; McGowan Explores Overhaul,"Rentokil Initial Plc, the British owner of businesses ranging from pest control to parcel delivery, tomorrow may report an 8 percent drop in first-half profit as heightening competition for contracts put pressure on prices.",Business
McLaughlin has Woburn fired up,Going out on a high note is just what Woburn running back Mike McLaughlin wanted to do.,Sports
Artest Banned for Rest of Season After Ugly Brawl, NEW YORK (Reuters) - The National Basketball Association  suspended All-Star Ron Artest for the rest of the season and  Indiana Pacers team mates Stephen Jackson for 30 games and  Jermaine O'Neal for 25 following Friday's ugly brawl.,Sports
US bows to Russians,"Her serves may have cracked the crowd up but Elena Dementieva had the last laugh when she pipped Jennifer Capriati 6-0, 2-6, 7-6 (7-5) for a place in the US Open final.",Sports
Ogunleye: Dolphins showed no  #39;class #39;,"DAVIE - A day after he was traded to the Chicago Bears, defensive end Adewale Ogunleye said Dolphins General Manager Rick Spielman showed a  quot;lack of class quot; by continually denying that he would trade him to another team.",Sports
"Arsenal loss of form is a crisis, says Wenger",Arsene Wenger says Arsenal #39;s loss of form adds up to a crisis at Highbury but believes the feeling inside the club remains optimistic.,Sports
Disney to sell 313 retail stores to Children #39;s Place,"NEW YORK, October 20 (newratings.com) - The Walt Disney Company (DIS.NYS) has reached a definitive agreement to sell its North American Disney Store retail chain to Children #39;s Place Retail Stores Inc (PLCE) for an undisclosed price.",Business
Scottie Pippen promised not to return,"In a game against the Knicks in the 1994 NBA Eastern Conference semifinals, Scottie Pippen refused to take the floor with 1.8 seconds remaining after Phil Jackson designed a potential game-winning play for Toni Kukoc rather than Pippen.",Sports
Grace Park Takes Lead at Wachovia Classic (AP),AP - Grace Park closed with an eagle and two birdies for a 7-under-par 65 and a one-stroke lead after three rounds of the Wachovia LPGA Classic on Saturday.,Sports
